value label	orig_label	label_short	label_short_hemi	hemisphere	tissue	major_compartment	compartment	roi_order	roi_group	label_group
186	striatum_fundus_right	54	FUND	FUND_right	right	gm	cerebrum	basal ganglia	186	46	basal ganglia right
187	nucleus_accumbens_right	55	NACC	NACC_right	right	gm	cerebrum	basal ganglia	187	46	basal ganglia right
188	entorhinal_cortex_caudomedial_right	50	ENTcm	ENTcm_right	right	gm	cerebrum	entorhinal cortex	188	47	entorhinal cortex right
189	entorhinal_cortex_dorsal_intermediate_right	67	ENTdi	ENTdi_right	right	gm	cerebrum	entorhinal cortex	189	47	entorhinal cortex right
190	entorhinal_cortex_dorsolateral_right	69	ENTdl	ENTdl_right	right	gm	cerebrum	entorhinal cortex	190	47	entorhinal cortex right
191	ectorhinal_cortex_right	72	ECT	ECT_right	right	gm	cerebrum	entorhinal cortex	191	47	entorhinal cortex right
192	entorhinal_cortex_medial_right	83	ENTm	ENTm_right	right	gm	cerebrum	entorhinal cortex	192	47	entorhinal cortex right
193	perirhinal_cortex_right	104	PRh	PRh_right	right	gm	cerebrum	entorhinal cortex	193	47	entorhinal cortex right
194	entorhinal_cortex_ventral_intermediate_right	162	ENTvi	ENTvi_right	right	gm	cerebrum	entorhinal cortex	194	47	entorhinal cortex right
195	subiculum_pre_para_right	133	Spp	Spp_right	right	gm	cerebrum	hippocampus extended	195	48	hippocampus extended right
196	subiculum_right	332	S	S_right	right	gm	cerebrum	hippocampus extended	196	48	hippocampus extended right
197	hippocampus_CA1_stratum_lacunosum_moleculare_right	306	CA1lm	CA1lm_right	right	gm	cerebrum	hippocampus CA1	197	49	hippocampus CA1 right
198	hippocampus_CA1_stratum_radiatum_right	308	CA1rad	CA1rad_right	right	gm	cerebrum	hippocampus CA1	198	49	hippocampus CA1 right
199	hippocampus_CA1_pyramidal_right	334	CA1py	CA1py_right	right	gm	cerebrum	hippocampus CA1	199	49	hippocampus CA1 right
200	hippocampus_CA1_stratum_oriens_right	336	CA1or	CA1or_right	right	gm	cerebrum	hippocampus CA1	200	49	hippocampus CA1 right
